,trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,startTimeSeconds,stopTimeSeconds,timeDelta
4504419,9574993,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:14:00,19.03333333333333,48.9,cloudy,29,Noble St & Milwaukee Ave,41.90068,-87.6626,15.0,174,Canal St & Madison St,41.882090999999996,-87.639833,27.0,32100.0,33240.0,1140.0
4504420,9574990,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:14:00,19.75,48.9,cloudy,313,Lakeview Ave & Fullerton Pkwy,41.92585800000001,-87.638973,19.0,66,Clinton St & Lake St,41.885464,-87.641253,19.0,32100.0,33240.0,1140.0
4504421,9574989,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:02:00,7.85,48.9,cloudy,56,Desplaines St & Kinzie St,41.888715999999995,-87.644448,27.0,346,Ada St & Washington Blvd,41.88283,-87.661206,15.0,32100.0,32520.0,420.0
4504422,9574988,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:16:00,21.566666666666666,48.9,cloudy,220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,23.0,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23.0,32040.0,33360.0,1320.0
4504423,9574987,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:00:00,6.05,48.9,cloudy,140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,19.0,364,Larrabee St & Oak St,41.900219,-87.642985,15.0,32040.0,32400.0,360.0
4504424,9574986,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 08:58:00,4.383333333333334,48.9,cloudy,233,Sangamon St & Washington Blvd (*),41.883004,-87.65114799999998,15.0,91,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999996,31.0,32040.0,32280.0,240.0
4504425,9574985,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:06:00,11.616666666666667,48.9,cloudy,161,Rush St & Superior St,41.895765000000004,-87.625908,23.0,66,Clinton St & Lake St,41.885464,-87.641253,19.0,32040.0,32760.0,720.0
4504426,9574984,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:54:00,2016-05-17 08:58:00,3.433333333333333,48.9,cloudy,153,Southport Ave & Wellington Ave,41.935733,-87.663576,19.0,115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23.0,32040.0,32280.0,240.0
4504427,9574983,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:10:00,16.116666666666667,48.9,cloudy,376,Artesian Ave & Hubbard St,41.889492,-87.68821899999998,35.0,261,Hermitage Ave & Polk St,41.87151400000001,-87.669886,15.0,32040.0,33000.0,960.0
4504428,9574982,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:00:00,6.333333333333332,48.9,cloudy,344,Ravenswood Ave & Lawrence Ave,41.96909,-87.674237,39.0,244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19.0,32040.0,32400.0,360.0
4504429,9574981,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:22:00,27.53333333333333,48.9,cloudy,116,Western Ave & Winnebago Ave,41.915533,-87.687051,15.0,287,Franklin St & Monroe St,41.880317,-87.63518499999998,27.0,32040.0,33720.0,1680.0
4504430,9574980,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:00:00,6.533333333333332,48.9,cloudy,499,Kosciuszko Park,41.930585,-87.723777,15.0,260,Kedzie Ave & Milwaukee Ave,41.929567,-87.70785699999998,19.0,32040.0,32400.0,360.0
4504431,9574979,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:05:00,11.583333333333336,48.9,cloudy,29,Noble St & Milwaukee Ave,41.90068,-87.6626,15.0,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,32040.0,32700.0,660.0
4504432,9574978,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:05:00,11.5,48.9,cloudy,29,Noble St & Milwaukee Ave,41.90068,-87.6626,15.0,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,32040.0,32700.0,660.0
4504433,9574977,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:54:00,2016-05-17 08:57:00,2.9166666666666665,48.9,cloudy,254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15.0,240,Sheridan Rd & Irving Park Rd,41.954245,-87.65440600000002,23.0,32040.0,32220.0,180.0
4504434,9574975,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:54:00,2016-05-17 09:08:00,13.833333333333336,48.9,cloudy,21,Aberdeen St & Jackson Blvd,41.877726,-87.654787,15.0,38,Clark St & Lake St,41.886021,-87.630876,27.0,32040.0,32880.0,840.0
4504435,9574973,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:54:00,2016-05-17 09:04:00,10.25,48.9,cloudy,174,Canal St & Madison St,41.882090999999996,-87.639833,27.0,195,Columbus Dr & Randolph St,41.884728,-87.61952099999998,31.0,32040.0,32640.0,600.0
